PRACTICE_CODE,PRACTICE_NAME,LSOA21CD,NUMBER_OF_PATIENTS
F85002,MEDICUS HEALTH PARTNERS,E01001063,3
F85002,MEDICUS HEALTH PARTNERS,E01001081,1
F85002,MEDICUS HEALTH PARTNERS,E01001174,1
F85002,MEDICUS HEALTH PARTNERS,E01001225,1
F85002,MEDICUS HEALTH PARTNERS,E01001246,1
F85002,MEDICUS HEALTH PARTNERS,E01001275,1
F85002,MEDICUS HEALTH PARTNERS,E01001283,1
F85002,MEDICUS HEALTH PARTNERS,E01001322,1
F85002,MEDICUS HEALTH PARTNERS,E01001333,1
F85002,MEDICUS HEALTH PARTNERS,E01001351,1
F85002,MEDICUS HEALTH PARTNERS,E01001372,3
F85002,MEDICUS HEALTH PARTNERS,E01001390,6
F85002,MEDICUS HEALTH PARTNERS,E01001391,24
F85002,MEDICUS HEALTH PARTNERS,E01001392,4
F85002,MEDICUS HEALTH PARTNERS,E01001393,21
F85002,MEDICUS HEALTH PARTNERS,E01001394,34
F85002,MEDICUS HEALTH PARTNERS,E01001395,74
F85002,MEDICUS HEALTH PARTNERS,E01001396,12
F85002,MEDICUS HEALTH PARTNERS,E01001397,134
F85002,MEDICUS HEALTH PARTNERS,E01001398,590
F85002,MEDICUS HEALTH PARTNERS,E01001399,488
F85002,MEDICUS HEALTH PARTNERS,E01001400,375
F85002,MEDICUS HEALTH PARTNERS,E01001401,1046
F85002,MEDICUS HEALTH PARTNERS,E01001402,76
F85002,MEDICUS HEALTH PARTNERS,E01001403,148
F85002,MEDICUS HEALTH PARTNERS,E01001404,292
F85002,MEDICUS HEALTH PARTNERS,E01001405,704
F85002,MEDICUS HEALTH PARTNERS,E01001406,1188
F85002,MEDICUS HEALTH PARTNERS,E01001407,929
F85002,MEDICUS HEALTH PARTNERS,E01001408,567
F85002,MEDICUS HEALTH PARTNERS,E01001409,1678
F85002,MEDICUS HEALTH PARTNERS,E01001410,1374
F85002,MEDICUS HEALTH PARTNERS,E01001411,949
F85002,MEDICUS HEALTH PARTNERS,E01001412,1029
F85002,MEDICUS HEALTH PARTNERS,E01001413,859
F85002,MEDICUS HEALTH PARTNERS,E01001414,662
F85002,MEDICUS HEALTH PARTNERS,E01001415,17
F85002,MEDICUS HEALTH PARTNERS,E01001416,53
